tileset3.png
32
18
12
0 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,17,114,114,46;
15,16,16,16,16,75,16,16,16,75,16,16,16,16,17,114,114,45;
11,12,31,31,31,31,31,31,31,31,31,31,31,31,32,114,129,76;
71,72,3 ,33,3 ,4 ,3 ,3 ,3 ,33,3 ,34,3 ,3 ,3 ,63,63,34;
71,72,18,18,48,18,18,18,18,18,49,19,18,18,34,93,93,3 ;
101,102,77,16,16,16,91,16,92,16,16,91,16,16,65,114,114,65;
15,16,16,16,16,16,16,16,16,16,16,16,16,16,114,114,114,114;
15,16,16,16,16,16,16,16,16,16,16,16,16,16,114,114,114,114;
15,16,75,16,16,16,16,16,16,16,16,16,16,16,114,114,114,114;
15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17;
15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17;
15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17;
15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17;
